clinician_id,title,first_name,last_name,speciality,gmc_number,phone_number,email,workplace_id,workplace_type,employment_status,start_date
C001,GP,Dr. David,Thompson,General Practice,7654321,07111222333,d.thompson@birminghamgp.nhs.uk,S001,GP Surgery,Full-time,2018-04-01
C002,GP,Dr. Helen,Roberts,General Practice,7654322,07111222334,h.roberts@birminghamgp.nhs.uk,S001,GP Surgery,Part-time,2019-09-15
C003,GP,Dr. Mark,Davies,General Practice,7654323,07111222335,m.davies@solihullgp.nhs.uk,S002,GP Surgery,Full-time,2017-02-20
C004,GP,Dr.Susan,Clarke,General Practice,7654324,07111222336,s.clarke@suttongp.nhs.uk,S003,GP Surgery,Full-time,2020-01-10
C005,Consultant,Dr. Richard,Evans,Cardiology,7654325,07111222337,r.evans@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2015-08-12
C006,Consultant,Dr. Maria,Rodriguez,Neurology,7654326,07111222338,m.rodriguez@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2016-11-05
C007,Consultant,Dr. Andrew,White,Orthopaedics,7654327,07111222339,a.white@queenshospital.nhs.uk,H002,Hospital,Full-time,2019-03-18
C008,Consultant,Dr. Jennifer,Lee,Dermatology,7654328,07111222340,j.lee@birminghamhospital.nhs.uk,H003,Hospital,Part-time,2021-06-01
C009,Senior Nurse,Sister Mary,Kelly,General Nursing,N654321,07111222341,m.kelly@birminghamgp.nhs.uk,S001,GP Surgery,Full-time,2019-01-15
C010,Practice Nurse,Nurse Jane,Phillips,Practice Nursing,N654322,07111222342,j.phillips@solihullgp.nhs.uk,S002,GP Surgery,Full-time,2020-05-20
C011,Staff Nurse,Nurse Robert,Green,General Nursing,N654323,07111222343,r.green@heartlandshospital.nhs.uk,H001,Hospital,Full-time,2018-09-10
C012,Consultant,Dr. Paul,Harris,Gastroenterology,7654329,07111222344,p.harris@queenshospital.nhs.uk,H002,Hospital,Full-time,2017-12-03
